nivel,nome_dataset,modelo_candidato,modelo_juiz,n,spearman_rho,p_value
global,ALL,ALL,ALL,45,0.14053500466081043,0.35716024570921606
por_dataset,K-QA,ALL,ALL,45,0.14053500466081043,0.35716024570921606
por_modelo,ALL,Claude 4.6 Sonnet,llama-3.3-70b-versatile,15,0.19611613513818404,0.48360914148605716
por_modelo,ALL,GPT-5.4 Thinking,llama-3.3-70b-versatile,15,,
por_modelo,ALL,Gemini 3.0,llama-3.3-70b-versatile,15,0.2672612419124244,0.3355612778654223
por_dataset_modelo,K-QA,Claude 4.6 Sonnet,llama-3.3-70b-versatile,15,0.19611613513818404,0.48360914148605716
por_dataset_modelo,K-QA,GPT-5.4 Thinking,llama-3.3-70b-versatile,15,,
por_dataset_modelo,K-QA,Gemini 3.0,llama-3.3-70b-versatile,15,0.2672612419124244,0.3355612778654223
